0:0:0:0:0:0:0:1 - - [13/Apr/2022:12:04:55 +0900] "GET /web_study_12/css/shopping.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2022:12:04:56 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 588
0:0:0:0:0:0:0:1 - - [13/Apr/2022:12:04:56 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 588
0:0:0:0:0:0:0:1 - - [13/Apr/2022:12:04:56 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 588
0:0:0:0:0:0:0:1 - - [13/Apr/2022:12:04:57 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 588
0:0:0:0:0:0:0:1 - - [13/Apr/2022:12:04:57 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 588
0:0:0:0:0:0:0:1 - - [13/Apr/2022:12:04:57 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 588
0:0:0:0:0:0:0:1 - - [13/Apr/2022:12:04:58 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 588
0:0:0:0:0:0:0:1 - - [13/Apr/2022:12:05:55 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 588
0:0:0:0:0:0:0:1 - - [13/Apr/2022:12:11:32 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 588
0:0:0:0:0:0:0:1 - - [13/Apr/2022:12:11:32 +0900] "GET /web_study_12/css/shopping.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2022:12:11:32 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 588
0:0:0:0:0:0:0:1 - - [13/Apr/2022:12:11:33 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 588
0:0:0:0:0:0:0:1 - - [13/Apr/2022:12:11:33 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 588
0:0:0:0:0:0:0:1 - - [13/Apr/2022:12:11:33 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 588
0:0:0:0:0:0:0:1 - - [13/Apr/2022:12:11:33 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 588
0:0:0:0:0:0:0:1 - - [13/Apr/2022:12:11:37 +0900] "GET /web_study_12/product/productWritejsp HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [13/Apr/2022:12:11:42 +0900] "GET /web_study_12/product/productWrite.jsp HTTP/1.1" 200 502
0:0:0:0:0:0:0:1 - - [13/Apr/2022:12:11:42 +0900] "GET /web_study_12/product/script/product.js HTTP/1.1" 404 857
0:0:0:0:0:0:0:1 - - [13/Apr/2022:12:28:44 +0900] "GET /web_study_12/product/productWrite.jsp HTTP/1.1" 200 1064
0:0:0:0:0:0:0:1 - - [13/Apr/2022:12:28:44 +0900] "GET /web_study_12/css/shopping.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2022:12:28:44 +0900] "GET /web_study_12/product/script/product.js HTTP/1.1" 404 857
0:0:0:0:0:0:0:1 - - [13/Apr/2022:12:30:27 +0900] "GET /web_study_12/product/productWrite.jsp HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [13/Apr/2022:12:30:27 +0900] "GET /web_study_12/product/script/product.js HTTP/1.1" 404 857
0:0:0:0:0:0:0:1 - - [13/Apr/2022:12:30:28 +0900] "GET /web_study_12/product/productList.do HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [13/Apr/2022:12:30:35 +0900] "POST /web_study_12/product/productWrite.jsp HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [13/Apr/2022:12:30:35 +0900] "GET /web_study_12/product/script/product.js HTTP/1.1" 404 857
0:0:0:0:0:0:0:1 - - [13/Apr/2022:12:30:37 +0900] "POST /web_study_12/product/productWrite.jsp HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [13/Apr/2022:12:30:37 +0900] "GET /web_study_12/product/script/product.js HTTP/1.1" 404 857
0:0:0:0:0:0:0:1 - - [13/Apr/2022:12:30:38 +0900] "GET /web_study_12/product/productWrite.jsp HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [13/Apr/2022:12:47:15 +0900] "GET /web_study_12/product/productWrite.jsp HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [13/Apr/2022:12:47:15 +0900] "GET /web_study_12/css/shopping.css HTTP/1.1" 304 -
